episode,episode_steps,episode_reward,max_tile
1,1212,1328.0,128.0
2,1046,1348.0,128.0
3,688,704.0,64.0
4,724,1432.0,128.0
5,681,728.0,64.0
6,786,2024.0,256.0
7,876,3128.0,256.0
8,519,2156.0,128.0
9,350,1472.0,128.0
10,204,1176.0,128.0
11,476,1408.0,128.0
12,284,1104.0,128.0
13,175,1132.0,128.0
14,350,2700.0,256.0
15,352,1376.0,128.0
16,391,1436.0,128.0
17,166,1260.0,128.0
18,266,1044.0,128.0
19,139,1124.0,128.0
20,319,1684.0,128.0
21,346,2836.0,256.0
22,330,1436.0,128.0
23,243,1488.0,128.0
24,310,2556.0,256.0
25,97,664.0,64.0
26,155,1480.0,128.0
27,188,1568.0,128.0
28,174,1276.0,128.0
29,512,3288.0,256.0
30,150,1368.0,128.0
31,265,776.0,64.0
32,330,2100.0,128.0
33,303,2252.0,256.0
34,535,3136.0,256.0
35,170,1268.0,128.0
36,369,1860.0,128.0
37,240,1512.0,128.0
38,223,1500.0,128.0
39,423,2120.0,256.0
40,177,1260.0,128.0
41,393,2336.0,256.0
42,393,2788.0,256.0
43,381,2456.0,256.0
44,232,1820.0,128.0
45,101,660.0,64.0
46,115,820.0,64.0
47,475,4664.0,512.0
48,265,2344.0,256.0
49,249,2516.0,256.0
50,211,1320.0,128.0
51,381,2700.0,256.0
52,420,3080.0,256.0
53,378,2244.0,256.0
54,433,3020.0,256.0
55,183,640.0,64.0
56,244,2968.0,256.0
57,426,3124.0,256.0
58,344,2612.0,256.0
59,314,1604.0,128.0
60,336,2360.0,256.0
61,199,1492.0,128.0
62,214,2344.0,256.0
63,272,3004.0,256.0
64,166,1252.0,128.0
65,434,2964.0,256.0
66,193,1572.0,128.0
67,139,1268.0,64.0
68,447,2980.0,256.0
69,362,2992.0,256.0
70,275,2420.0,256.0
71,502,2360.0,256.0
72,412,3100.0,256.0
73,306,3148.0,256.0
74,146,1396.0,128.0
75,366,3084.0,256.0
76,274,2248.0,256.0
77,241,2824.0,256.0
78,469,5132.0,512.0
79,566,6260.0,512.0
80,413,4596.0,512.0
81,339,2536.0,256.0
82,259,2776.0,256.0
83,369,1288.0,128.0
84,241,1644.0,128.0
85,201,2236.0,256.0
86,657,5268.0,512.0
87,281,2792.0,256.0
88,222,988.0,64.0
89,254,2500.0,256.0
90,307,2400.0,256.0
91,442,3016.0,256.0
92,317,2772.0,256.0
93,271,1424.0,128.0
94,276,3100.0,256.0
95,213,1696.0,128.0
96,223,1396.0,128.0
97,162,1436.0,128.0
98,702,5560.0,512.0
99,416,2972.0,256.0
100,300,3004.0,256.0
101,180,2092.0,256.0
102,716,4888.0,512.0
103,484,3212.0,256.0
104,579,5244.0,512.0
105,292,3088.0,256.0
106,540,4704.0,512.0
107,260,2924.0,256.0
108,239,2828.0,256.0
109,259,2880.0,256.0
110,285,3092.0,256.0
111,311,2832.0,256.0
112,236,1392.0,128.0
113,159,1464.0,128.0
114,421,3148.0,256.0
115,330,3012.0,256.0
116,229,1400.0,128.0
117,269,2924.0,256.0
118,230,2356.0,256.0
119,369,1616.0,128.0
120,296,2996.0,256.0
121,327,3388.0,256.0
122,372,2828.0,256.0
123,560,6396.0,512.0
124,213,2244.0,256.0
125,206,2256.0,256.0
126,298,3136.0,256.0
127,325,3016.0,256.0
128,344,3296.0,256.0
129,210,2296.0,256.0
130,349,4500.0,512.0
131,318,3000.0,256.0
132,646,6608.0,512.0
133,261,2216.0,256.0
134,373,3252.0,256.0
135,293,3316.0,256.0
136,133,1160.0,128.0
137,294,3056.0,256.0
138,320,2996.0,256.0
139,278,3132.0,256.0
140,146,1288.0,128.0
141,468,3076.0,256.0
142,356,2508.0,256.0
143,149,1244.0,128.0
144,244,2304.0,256.0
145,305,1604.0,128.0
146,417,3088.0,256.0
147,619,4900.0,512.0
148,289,2692.0,256.0
149,331,2396.0,256.0
150,291,2788.0,256.0
151,174,1596.0,128.0
152,631,5048.0,512.0
153,373,3184.0,256.0
154,281,2976.0,256.0
155,214,1348.0,128.0
156,374,3656.0,256.0
157,412,3048.0,256.0
158,258,2728.0,256.0
159,247,2524.0,256.0
160,517,3048.0,256.0
161,158,1612.0,128.0
162,336,3056.0,256.0
163,539,2988.0,256.0
164,457,3664.0,256.0
165,455,3256.0,256.0
166,327,3008.0,256.0
167,351,2980.0,256.0
168,737,5612.0,512.0
169,108,1024.0,128.0
170,400,5308.0,512.0
171,380,2912.0,256.0
172,533,6200.0,512.0
173,212,1528.0,128.0
174,429,3136.0,256.0
175,239,2644.0,256.0
176,167,1608.0,128.0
177,132,1296.0,128.0
178,378,4880.0,512.0
179,444,5212.0,512.0
180,256,2556.0,256.0
181,251,2980.0,256.0
182,247,1796.0,128.0
183,283,3076.0,256.0
184,317,3008.0,256.0
185,352,3992.0,256.0
186,205,2332.0,256.0
187,514,5008.0,512.0
188,733,5244.0,512.0
189,300,1548.0,128.0
190,204,2332.0,256.0
191,198,2020.0,128.0
192,436,4956.0,512.0
193,154,1632.0,128.0
194,280,2940.0,256.0
195,318,4680.0,512.0
196,441,3140.0,256.0
197,212,2724.0,256.0
198,145,1408.0,128.0
199,344,4912.0,512.0
200,247,2392.0,256.0
201,310,3040.0,256.0
202,478,5612.0,512.0
203,332,4820.0,512.0
204,246,2544.0,256.0
205,581,3116.0,256.0
206,213,2412.0,256.0
207,249,2680.0,256.0
208,401,5320.0,512.0
209,194,1260.0,128.0
210,278,2224.0,256.0
211,295,3080.0,256.0
212,325,3092.0,256.0
213,311,2628.0,256.0
214,390,3040.0,256.0
215,248,2672.0,256.0
216,222,2280.0,256.0
217,289,2948.0,256.0
218,334,3892.0,256.0
219,364,2944.0,256.0
220,363,3108.0,256.0
221,208,2264.0,256.0
222,151,1272.0,128.0
223,363,3392.0,256.0
224,516,5196.0,512.0
225,500,6128.0,512.0
226,394,5256.0,512.0
227,336,1324.0,128.0
228,232,2892.0,256.0
229,308,3868.0,256.0
230,306,3008.0,256.0
231,248,1396.0,128.0
232,347,3680.0,256.0
233,127,1284.0,128.0
234,285,3120.0,256.0
235,191,1224.0,128.0
236,335,4652.0,512.0
237,532,6604.0,512.0
238,372,3084.0,256.0
239,328,3036.0,256.0
240,366,4788.0,512.0
241,353,2872.0,256.0
242,417,5344.0,512.0
243,288,2360.0,256.0
244,313,4640.0,512.0
245,277,2952.0,256.0
246,312,3116.0,256.0
247,223,2816.0,256.0
248,270,3160.0,256.0
249,466,3036.0,256.0
250,413,4604.0,512.0
251,432,5176.0,512.0
252,309,2892.0,256.0
253,205,2672.0,256.0
254,369,3320.0,256.0
255,306,2004.0,128.0
256,661,3536.0,256.0
257,416,2916.0,256.0
258,302,2920.0,256.0
259,403,3000.0,256.0
260,211,2820.0,256.0
261,594,6796.0,512.0
262,295,1984.0,128.0
263,661,6424.0,512.0
264,637,6796.0,512.0
265,331,3260.0,256.0
266,270,2836.0,256.0
267,424,4648.0,512.0
268,441,4584.0,512.0
269,301,3148.0,256.0
270,365,3568.0,256.0
271,307,2984.0,256.0
272,339,2856.0,256.0
273,383,5212.0,512.0
274,643,6936.0,512.0
275,234,2632.0,256.0
276,475,5292.0,512.0
277,219,2920.0,256.0
278,321,3088.0,256.0
279,484,5244.0,512.0
280,342,3084.0,256.0
281,173,1380.0,128.0
282,220,1732.0,128.0
283,292,3136.0,256.0
284,567,5216.0,512.0
285,253,3020.0,256.0
286,527,5556.0,512.0
287,335,3120.0,256.0
288,618,5792.0,512.0
289,226,1392.0,128.0
290,635,6572.0,512.0
291,283,3200.0,256.0
292,358,5144.0,512.0
293,356,4916.0,512.0
294,291,2256.0,128.0
295,275,2956.0,256.0
296,192,1416.0,128.0
297,482,5600.0,512.0
298,565,6664.0,512.0
299,424,5216.0,512.0
300,306,2956.0,256.0
301,305,4528.0,512.0
302,209,1376.0,128.0
303,259,2956.0,256.0
304,236,2880.0,256.0
305,367,2972.0,256.0
306,388,5296.0,512.0
307,269,1960.0,128.0
308,319,3144.0,256.0
309,511,6864.0,512.0
310,312,4524.0,512.0
311,207,1956.0,128.0
312,127,1272.0,128.0
313,462,6272.0,512.0
314,240,2808.0,256.0
315,423,4872.0,512.0
316,424,3924.0,256.0
317,337,3220.0,256.0
318,475,4504.0,512.0
319,229,2924.0,256.0
320,318,3376.0,256.0
321,336,3072.0,256.0
322,255,2364.0,256.0
323,642,6148.0,512.0
324,306,2948.0,256.0
325,358,2636.0,256.0
326,293,2792.0,256.0
327,440,5184.0,512.0
328,262,2228.0,256.0
329,195,1388.0,128.0
330,244,3044.0,256.0
331,254,2296.0,128.0
332,258,2720.0,256.0
333,240,2292.0,256.0
334,196,2028.0,128.0
335,416,5272.0,512.0
336,505,5124.0,512.0
337,235,2920.0,256.0
338,364,3628.0,256.0
339,284,2960.0,256.0
340,341,3448.0,256.0
341,610,6568.0,512.0
342,243,2288.0,256.0
343,491,5240.0,512.0
344,382,3084.0,256.0
345,313,3000.0,256.0
346,288,2680.0,256.0
347,282,3064.0,256.0
348,390,2776.0,256.0
349,425,2740.0,256.0
350,266,3128.0,256.0
351,389,3116.0,256.0
352,281,2748.0,256.0
353,420,2968.0,256.0
354,271,3124.0,256.0
355,319,2956.0,256.0
356,177,2028.0,256.0
357,159,1672.0,128.0
358,302,3408.0,256.0
359,343,2984.0,256.0
360,303,3208.0,256.0
361,278,3324.0,256.0
362,305,3040.0,256.0
363,281,2940.0,256.0
364,250,2996.0,256.0
365,439,4912.0,512.0
366,463,5132.0,512.0
367,444,5284.0,512.0
368,318,2976.0,256.0
369,363,3356.0,256.0
370,429,5424.0,512.0
371,573,3136.0,256.0
372,349,2248.0,128.0
373,372,2984.0,256.0
374,609,6140.0,512.0
375,289,2976.0,256.0
376,139,1360.0,128.0
377,300,3096.0,256.0
378,175,1372.0,128.0
379,177,1336.0,128.0
380,473,5264.0,512.0
381,186,1680.0,128.0
382,292,2852.0,256.0
383,428,3020.0,256.0
384,307,2768.0,256.0
385,384,2952.0,256.0
386,284,2872.0,256.0
387,473,2996.0,256.0
388,431,5128.0,512.0
389,131,984.0,128.0
390,808,6388.0,512.0
391,260,1664.0,128.0
392,322,2736.0,256.0
393,521,6700.0,512.0
394,305,3052.0,256.0
395,418,4880.0,512.0
396,501,3032.0,256.0
397,303,3264.0,256.0
398,238,2952.0,256.0
399,427,5088.0,512.0
400,528,6200.0,512.0
401,514,3176.0,256.0
402,574,5336.0,512.0
403,329,4872.0,512.0
404,476,6780.0,512.0
405,297,2760.0,256.0
406,266,3224.0,256.0
407,288,3380.0,256.0
408,401,5584.0,512.0
409,198,1572.0,128.0
410,499,5152.0,512.0
411,269,3048.0,256.0
412,676,5304.0,512.0
413,159,1416.0,128.0
414,235,2896.0,256.0
415,261,3252.0,256.0
416,343,2892.0,256.0
417,659,6856.0,512.0
418,387,3164.0,256.0
419,157,1380.0,128.0
420,483,6156.0,512.0
421,455,3548.0,256.0
422,375,2300.0,256.0
423,368,3032.0,256.0
424,364,4388.0,256.0
425,579,5156.0,512.0
426,211,2640.0,256.0
427,282,3332.0,256.0
428,334,2000.0,128.0
429,694,5372.0,512.0
430,219,1676.0,128.0
431,511,3760.0,256.0
432,370,3792.0,256.0
433,371,2628.0,256.0
434,295,1356.0,128.0
435,268,2868.0,256.0
436,429,6020.0,512.0
437,585,6200.0,512.0
438,412,2876.0,256.0
439,159,1284.0,128.0
440,229,3020.0,256.0
441,223,2736.0,256.0
442,331,3056.0,256.0
443,265,2936.0,256.0
444,199,1504.0,128.0
445,269,2860.0,256.0
446,242,2880.0,256.0
447,556,6264.0,512.0
448,571,6776.0,512.0
449,237,2928.0,256.0
450,129,980.0,128.0
451,489,3180.0,256.0
452,304,2652.0,256.0
453,495,6808.0,512.0
454,572,4808.0,512.0
455,212,2676.0,256.0
456,155,1420.0,128.0
457,240,2336.0,256.0
458,471,4568.0,256.0
459,478,6272.0,512.0
460,240,2976.0,256.0
461,336,2880.0,256.0
462,537,3624.0,256.0
463,500,5168.0,512.0
464,348,3260.0,256.0
465,335,2884.0,256.0
466,243,3068.0,256.0
467,294,3724.0,256.0
468,485,5216.0,512.0
469,213,1936.0,128.0
470,252,3108.0,256.0
471,297,3036.0,256.0
472,597,6600.0,512.0
473,354,3432.0,256.0
474,352,4376.0,256.0
475,279,2424.0,256.0
476,178,2248.0,256.0
477,258,3092.0,256.0
478,314,2548.0,256.0
479,374,4664.0,512.0
480,265,2712.0,256.0
481,670,6712.0,512.0
482,334,3096.0,256.0
483,303,3084.0,256.0
484,120,1128.0,128.0
485,351,2276.0,128.0
486,581,5284.0,512.0
487,406,4688.0,512.0
488,266,2980.0,256.0
489,330,3112.0,256.0
490,786,6932.0,512.0
491,274,3080.0,256.0
492,447,3688.0,256.0
493,350,5244.0,512.0
494,253,3040.0,256.0
495,466,5496.0,512.0
496,581,5524.0,512.0
497,616,6696.0,512.0
498,926,10816.0,1024.0
499,400,3472.0,256.0
500,465,4552.0,512.0
501,156,1580.0,128.0
502,398,5084.0,512.0
503,491,4052.0,256.0
504,335,4092.0,256.0
505,525,3044.0,256.0
506,182,2072.0,256.0
507,490,5280.0,512.0
508,622,6096.0,512.0
509,686,6912.0,512.0
510,639,6328.0,512.0
511,293,2964.0,256.0
512,295,3556.0,256.0
513,285,3012.0,256.0
514,620,3420.0,256.0
515,334,3716.0,256.0
516,403,5216.0,512.0
517,248,1588.0,128.0
518,299,3040.0,256.0
519,536,6536.0,512.0
520,290,3112.0,256.0
521,241,2916.0,256.0
522,312,3072.0,256.0
523,168,1296.0,128.0
524,320,3848.0,256.0
525,453,6304.0,512.0
526,471,1812.0,128.0
527,229,2896.0,256.0
528,474,5212.0,512.0
529,403,4716.0,256.0
530,538,6868.0,512.0
531,258,2960.0,256.0
532,498,5048.0,512.0
533,425,3172.0,256.0
534,342,3536.0,256.0
535,247,3128.0,256.0
536,570,6036.0,512.0
537,263,2936.0,256.0
538,315,3160.0,256.0
539,425,4720.0,512.0
540,253,3224.0,256.0
541,394,4920.0,512.0
542,602,5436.0,512.0
543,325,3212.0,256.0
544,353,3656.0,256.0
545,268,3000.0,256.0
546,289,3004.0,256.0
547,301,3796.0,256.0
548,594,5728.0,512.0
549,525,6212.0,512.0
550,259,2952.0,256.0
551,578,5392.0,512.0
552,293,2544.0,256.0
553,235,2516.0,256.0
554,690,7000.0,512.0
555,399,3304.0,256.0
556,432,5896.0,512.0
557,403,3056.0,256.0
558,452,2996.0,256.0
559,228,2848.0,256.0
560,167,1492.0,128.0
561,731,5792.0,512.0
562,344,3208.0,256.0
563,456,4528.0,512.0
564,448,5104.0,512.0
565,358,2548.0,256.0
566,234,2400.0,256.0
567,504,4048.0,256.0
568,148,1564.0,128.0
569,541,6420.0,512.0
570,147,1064.0,128.0
571,271,2752.0,256.0
572,182,1688.0,128.0
573,159,1496.0,128.0
574,294,3408.0,256.0
575,275,2820.0,256.0
576,276,2948.0,256.0
577,416,5236.0,512.0
578,524,4896.0,512.0
579,579,6608.0,512.0
580,269,2988.0,256.0
581,236,2948.0,256.0
582,479,5184.0,512.0
583,627,6728.0,512.0
584,132,1096.0,128.0
585,609,3020.0,256.0
586,478,6144.0,512.0
587,241,1628.0,128.0
588,802,7360.0,512.0
589,340,3072.0,256.0
590,566,3348.0,256.0
591,313,3000.0,256.0
592,771,6512.0,512.0
593,589,6940.0,512.0
594,300,2872.0,256.0
595,334,3112.0,256.0
596,401,4652.0,512.0
597,308,3264.0,256.0
598,247,2996.0,256.0
599,567,6128.0,512.0
600,93,616.0,64.0
601,275,2560.0,256.0
602,137,1284.0,128.0
603,422,5368.0,512.0
604,707,6796.0,512.0
605,277,3044.0,256.0
606,271,3224.0,256.0
607,231,2128.0,128.0
608,537,5524.0,512.0
609,275,2924.0,256.0
610,147,1364.0,128.0
611,210,2332.0,256.0
612,292,3108.0,256.0
613,159,1408.0,128.0
614,329,3468.0,256.0
615,339,5152.0,512.0
616,278,2952.0,256.0
617,273,3160.0,256.0
618,243,2748.0,256.0
619,494,6124.0,512.0
620,387,3956.0,256.0
621,243,3020.0,256.0
622,606,6948.0,512.0
623,241,2384.0,256.0
624,283,2680.0,256.0
625,344,2952.0,256.0
626,380,5156.0,512.0
627,179,1352.0,128.0
628,501,5288.0,512.0
629,154,1756.0,128.0
630,249,3072.0,256.0
631,290,3036.0,256.0
632,349,2988.0,256.0
633,277,3180.0,256.0
634,284,3032.0,256.0
635,198,2352.0,256.0
636,306,3024.0,256.0
637,585,6876.0,512.0
638,428,5280.0,512.0
639,389,4572.0,512.0
640,388,5176.0,512.0
641,279,2440.0,256.0
642,204,1324.0,128.0
643,440,5224.0,512.0
644,262,2752.0,256.0
645,445,2972.0,256.0
646,416,6064.0,512.0
647,451,5276.0,512.0
648,496,6228.0,512.0
649,136,1268.0,128.0
650,386,3712.0,256.0
651,377,3896.0,256.0
652,287,2228.0,256.0
653,192,2372.0,256.0
654,469,5228.0,512.0
655,285,3392.0,256.0
656,306,3164.0,256.0
657,342,3456.0,256.0
658,352,3116.0,256.0
659,802,7912.0,512.0
660,552,4632.0,256.0
661,345,3388.0,256.0
662,414,6300.0,512.0
663,527,5320.0,512.0
664,420,4764.0,256.0
665,331,3688.0,256.0
666,406,4844.0,512.0
667,338,3600.0,256.0
668,305,2888.0,256.0
669,407,2996.0,256.0
670,308,3048.0,256.0
671,174,1492.0,128.0
672,498,6724.0,512.0
673,155,1428.0,128.0
674,399,5228.0,512.0
675,352,3236.0,256.0
676,94,616.0,64.0
677,386,2436.0,256.0
678,264,2828.0,256.0
679,324,3220.0,256.0
680,206,1312.0,128.0
681,105,972.0,128.0
682,321,4112.0,256.0
683,103,992.0,128.0
684,374,4572.0,512.0
685,429,3296.0,256.0
686,385,5148.0,512.0
687,477,5236.0,512.0
688,371,3116.0,256.0
689,260,2396.0,256.0
690,317,4980.0,512.0
691,285,2976.0,256.0
692,450,5604.0,512.0
693,525,6976.0,512.0
694,401,3756.0,256.0
695,281,3364.0,256.0
696,291,3108.0,256.0
697,262,3032.0,256.0
698,400,5220.0,512.0
699,310,3132.0,256.0
700,588,5948.0,512.0
701,308,3040.0,256.0
702,570,6300.0,512.0
703,691,6784.0,512.0
704,641,6728.0,512.0
705,228,2848.0,256.0
706,426,4684.0,256.0
707,487,6892.0,512.0
708,576,6324.0,512.0
709,369,3300.0,256.0
710,232,1992.0,128.0
711,263,3152.0,256.0
712,607,6048.0,512.0
713,282,4448.0,512.0
714,486,5888.0,512.0
715,446,5448.0,512.0
716,520,6204.0,512.0
717,122,1232.0,128.0
718,557,6748.0,512.0
719,349,3144.0,256.0
720,360,3280.0,256.0
721,573,6936.0,512.0
722,568,5492.0,512.0
723,435,5288.0,512.0
724,375,5320.0,512.0
725,231,2924.0,256.0
726,347,2732.0,256.0
727,164,1288.0,128.0
728,217,2128.0,128.0
729,515,6924.0,512.0
730,434,6252.0,512.0
731,325,3416.0,256.0
732,534,6892.0,512.0
733,946,11772.0,1024.0
734,552,6868.0,512.0
735,196,2108.0,128.0
736,593,6916.0,512.0
737,525,5568.0,512.0
738,678,6344.0,512.0
739,483,5352.0,512.0
740,326,3104.0,256.0
741,452,6324.0,512.0
742,195,1508.0,128.0
743,137,1380.0,128.0
744,233,2932.0,256.0
745,287,2848.0,256.0
746,256,3012.0,256.0
747,438,6224.0,512.0
748,253,1396.0,128.0
749,286,3008.0,256.0
750,510,6368.0,512.0
751,285,3004.0,256.0
752,404,5200.0,512.0
753,316,3184.0,256.0
754,485,6860.0,512.0
755,361,3272.0,256.0
756,633,6740.0,512.0
757,380,3144.0,256.0
758,315,2804.0,256.0
759,233,1612.0,128.0
760,432,5212.0,512.0
761,276,2280.0,256.0
762,390,5204.0,512.0
763,415,3212.0,256.0
764,403,5404.0,512.0
765,527,7024.0,512.0
766,403,5156.0,512.0
767,366,5072.0,512.0
768,355,4824.0,512.0
769,355,2560.0,256.0
770,302,2980.0,256.0
771,419,4456.0,512.0
772,365,3364.0,256.0
773,472,5256.0,512.0
774,308,3272.0,256.0
775,421,5756.0,512.0
776,338,3380.0,256.0
777,231,2688.0,256.0
778,332,3004.0,256.0
779,605,6760.0,512.0
780,341,3224.0,256.0
781,501,6156.0,512.0
782,289,1724.0,128.0
783,291,2232.0,128.0
784,130,612.0,64.0
785,222,2380.0,256.0
786,612,6644.0,512.0
787,318,3504.0,256.0
788,138,1384.0,128.0
789,511,6732.0,512.0
790,446,6260.0,512.0
791,387,4024.0,256.0
792,248,2348.0,256.0
793,262,3172.0,256.0
794,340,3976.0,256.0
795,417,5312.0,512.0
796,442,4584.0,256.0
797,273,3096.0,256.0
798,404,5628.0,512.0
799,804,7240.0,512.0
800,462,6060.0,512.0
801,606,6980.0,512.0
802,488,6352.0,512.0
803,532,6164.0,512.0
804,257,2824.0,256.0
805,392,5256.0,512.0
806,584,2964.0,256.0
807,511,6040.0,512.0
808,478,6852.0,512.0
809,624,6460.0,512.0
810,588,6048.0,512.0
811,452,5792.0,512.0
812,371,2700.0,256.0
813,261,3000.0,256.0
814,376,3988.0,256.0
815,536,6948.0,512.0
816,414,2856.0,256.0
817,271,3044.0,256.0
818,1009,11580.0,1024.0
819,747,6544.0,512.0
820,287,3072.0,256.0
821,467,3328.0,256.0
822,189,2224.0,256.0
823,238,2844.0,256.0
824,622,4668.0,256.0
825,743,9044.0,512.0
826,312,2860.0,256.0
827,473,6244.0,512.0
828,228,2396.0,256.0
829,384,2644.0,256.0
830,267,2872.0,256.0
831,324,3352.0,256.0
832,336,3164.0,256.0
833,436,6608.0,512.0
834,378,3100.0,256.0
835,404,3708.0,256.0
836,121,1072.0,128.0
837,292,2376.0,256.0
838,397,5776.0,512.0
839,234,3040.0,256.0
840,187,2300.0,256.0
841,200,1936.0,128.0
842,327,2388.0,256.0
843,426,5436.0,512.0
844,322,2956.0,256.0
845,182,1372.0,128.0
846,172,1316.0,128.0
847,812,6340.0,512.0
848,469,5544.0,512.0
849,898,11324.0,1024.0
850,427,6252.0,512.0
851,450,5444.0,512.0
852,266,2712.0,256.0
853,332,3800.0,256.0
